;bhsa_lex;book;chapter;verse;verb_heb;verse_heb;verb_stem;verb_tense;verb_phrase_heb;verb_phrase;verb_clause_heb;verb_clause;subject;complement
0;<WP[;Isaiah;6;6;יָּ֣עָף ;וַיָּ֣עָף אֵלַ֗י אֶחָד֙ מִן־הַשְּׂרָפִ֔ים וּבְיָדֹ֖ו רִצְפָּ֑ה בְּמֶ֨לְקַחַ֔יִם לָקַ֖ח מֵעַ֥ל הַמִּזְבֵּֽחַ׃ ;qal;wayq;יָּ֣עָף ;J<P;וַיָּ֣עָף אֵלַ֗י אֶחָד֙ מִן־הַשְּׂרָפִ֔ים ;W J<P >LJ >XD MN H FRPJM;>XD MN H FRPJM;>LJ
1;<LH[;Isaiah;7;1;עָלָ֣ה ;וַיְהִ֡י בִּימֵ֣י אָ֠חָז בֶּן־יֹותָ֨ם בֶּן־עֻזִּיָּ֜הוּ מֶ֣לֶךְ יְהוּדָ֗ה עָלָ֣ה רְצִ֣ין מֶֽלֶךְ־אֲ֠רָם וּפֶ֨קַח בֶּן־רְמַלְיָ֤הוּ מֶֽלֶךְ־יִשְׂרָאֵל֙ יְר֣וּשָׁלִַ֔ם לַמִּלְחָמָ֖ה עָלֶ֑יהָ וְלֹ֥א יָכֹ֖ל לְהִלָּחֵ֥ם עָלֶֽיהָ׃ ;qal;perf;עָלָ֣ה ;<LH;עָלָ֣ה רְצִ֣ין מֶֽלֶךְ־אֲ֠רָם וּפֶ֨קַח בֶּן־רְמַלְיָ֤הוּ מֶֽלֶךְ־יִשְׂרָאֵל֙ יְר֣וּשָׁלִַ֔ם לַמִּלְחָמָ֖ה עָלֶ֑יהָ ;<LH RYJN MLK >RM W PQX BN RMLJHW MLK JFR>L JRWCLM L  MLXMH <LJH;RYJN MLK >RM W PQX BN RMLJHW MLK JFR>L;JRWCLM
2;JY>[;Isaiah;7;3;צֵא־;וַיֹּ֣אמֶר יְהוָה֮ אֶֽל־יְשַׁעְיָהוּ֒ צֵא־נָא֙ לִקְרַ֣את אָחָ֔ז אַתָּ֕ה וּשְׁאָ֖ר יָשׁ֣וּב בְּנֶ֑ךָ אֶל־קְצֵ֗ה תְּעָלַת֙ הַבְּרֵכָ֣ה הָעֶלְיֹונָ֔ה אֶל־מְסִלַּ֖ת שְׂדֵ֥ה כֹובֵֽס׃ ;qal;impv;צֵא־;Y>;צֵא־נָא֙ אַתָּ֕ה וּשְׁאָ֖ר יָשׁ֣וּב בְּנֶ֑ךָ אֶל־קְצֵ֗ה תְּעָלַת֙ הַבְּרֵכָ֣ה הָעֶלְיֹונָ֔ה אֶל־מְסִלַּ֖ת שְׂדֵ֥ה כֹובֵֽס׃ ;Y> N> >TH W C>R_JCWB BNK >L QYH T<LT H BRKH H <LJWNH >L MSLT FDH KWBS;>TH W C>R_JCWB BNK;
3;JY>[;Isaiah;7;3;צֵא־;וַיֹּ֣אמֶר יְהוָה֮ אֶֽל־יְשַׁעְיָהוּ֒ צֵא־נָא֙ לִקְרַ֣את אָחָ֔ז אַתָּ֕ה וּשְׁאָ֖ר יָשׁ֣וּב בְּנֶ֑ךָ אֶל־קְצֵ֗ה תְּעָלַת֙ הַבְּרֵכָ֣ה הָעֶלְיֹונָ֔ה אֶל־מְסִלַּ֖ת שְׂדֵ֥ה כֹובֵֽס׃ ;qal;impv;צֵא־;Y>;צֵא־נָא֙ אַתָּ֕ה וּשְׁאָ֖ר יָשׁ֣וּב בְּנֶ֑ךָ אֶל־קְצֵ֗ה תְּעָלַת֙ הַבְּרֵכָ֣ה הָעֶלְיֹונָ֔ה אֶל־מְסִלַּ֖ת שְׂדֵ֥ה כֹובֵֽס׃ ;Y> N> >TH W C>R_JCWB BNK >L QYH T<LT H BRKH H <LJWNH >L MSLT FDH KWBS;>TH W C>R_JCWB BNK;
4;<LH[;Isaiah;7;6;נַעֲלֶ֤ה ;נַעֲלֶ֤ה בִֽיהוּדָה֙ וּנְקִיצֶ֔נָּה וְנַבְקִעֶ֖נָּה אֵלֵ֑ינוּ וְנַמְלִ֥יךְ מֶ֨לֶךְ֙ בְּתֹוכָ֔הּ אֵ֖ת בֶּן־טָֽבְאַֽל׃ ס ;qal;impf;נַעֲלֶ֤ה ;N<LH;נַעֲלֶ֤ה בִֽיהוּדָה֙ ;N<LH B JHWDH;;B JHWDH
5;BW>[;Isaiah;7;24;יָ֣בֹוא ;בַּחִצִּ֥ים וּבַקֶּ֖שֶׁת יָ֣בֹוא שָׁ֑מָּה כִּי־שָׁמִ֥יר וָשַׁ֖יִת תִּֽהְיֶ֥ה כָל־הָאָֽרֶץ׃ ;qal;impf;יָ֣בֹוא ;JBW>;בַּחִצִּ֥ים וּבַקֶּ֖שֶׁת יָ֣בֹוא שָׁ֑מָּה ;B  XYJM W B  QCT JBW> CMH;;CMH
6;BW>[;Isaiah;7;25;תָבֹ֣וא ;וְכֹ֣ל הֶהָרִ֗ים אֲשֶׁ֤ר בַּמַּעְדֵּר֙ יֵעָ֣דֵר֔וּן לֹֽא־תָבֹ֣וא שָׁ֔מָּה יִרְאַ֖ת שָׁמִ֣יר וָשָׁ֑יִת וְהָיָה֙ לְמִשְׁלַ֣ח שֹׁ֔ור וּלְמִרְמַ֖ס שֶֽׂה׃ פ ;qal;impf;תָבֹ֣וא ;TBW>;לֹֽא־תָבֹ֣וא שָׁ֔מָּה יִרְאַ֖ת שָׁמִ֣יר וָשָׁ֑יִת ;L> TBW> CMH JR>T CMJR W CJT;;CMH
7;<LH[;Isaiah;8;7;מַעֲלֶ֨ה ;וְלָכֵ֡ן הִנֵּ֣ה אֲדֹנָי֩ מַעֲלֶ֨ה עֲלֵיהֶ֜ם אֶת־מֵ֣י הַנָּהָ֗ר הָעֲצוּמִים֙ וְהָ֣רַבִּ֔ים אֶת־מֶ֥לֶךְ אַשּׁ֖וּר וְאֶת־כָּל־כְּבֹודֹ֑ו וְעָלָה֙ עַל־כָּל־אֲפִיקָ֔יו וְהָלַ֖ךְ עַל־כָּל־גְּדֹותָֽיו׃ ;hif;ptca;מַעֲלֶ֨ה ;M<LH;הִנֵּ֣ה אֲדֹנָי֩ מַעֲלֶ֨ה עֲלֵיהֶ֜ם אֶת־מֵ֣י הַנָּהָ֗ר הָעֲצוּמִים֙ וְהָ֣רַבִּ֔ים אֶת־מֶ֥לֶךְ אַשּׁ֖וּר וְאֶת־כָּל־כְּבֹודֹ֑ו ;HNH >DNJ M<LH <LJHM >T MJ H NHR H <YWMJM W H RBJM >T MLK >CWR W >T KL KBWDW;>DNJ;<LJHM
8;BW>[;Isaiah;14;2;הֱבִיא֣וּם ;וּלְקָח֣וּם עַמִּים֮ וֶהֱבִיא֣וּם אֶל־מְקֹומָם֒ וְהִֽתְנַחֲל֣וּם בֵּֽית־יִשְׂרָאֵ֗ל עַ֚ל אַדְמַ֣ת יְהוָ֔ה לַעֲבָדִ֖ים וְלִשְׁפָחֹ֑ות וְהָיוּ֙ שֹׁבִ֣ים לְשֹֽׁבֵיהֶ֔ם וְרָד֖וּ בְּנֹגְשֵׂיהֶֽם׃ ס ;hif;perf;הֱבִיא֣וּם ;HBJ>WM;וֶהֱבִיא֣וּם אֶל־מְקֹומָם֒ ;W HBJ>WM >L MQWMM;;>L MQWMM
9;BW>[;Isaiah;16;12;בָ֧א ;וְהָיָ֧ה כִֽי־נִרְאָ֛ה כִּֽי־נִלְאָ֥ה מֹואָ֖ב עַל־הַבָּמָ֑ה וּבָ֧א אֶל־מִקְדָּשֹׁ֛ו לְהִתְפַּלֵּ֖ל וְלֹ֥א יוּכָֽל׃ ;qal;perf;בָ֧א ;B>;וּבָ֧א אֶל־מִקְדָּשֹׁ֛ו ;W B> >L MQDCW;;>L MQDCW
10;BW>[;Isaiah;19;23;בָֽא־;בַּיֹּ֣ום הַה֗וּא תִּהְיֶ֨ה מְסִלָּ֤ה מִמִּצְרַ֨יִם֙ אַשּׁ֔וּרָה וּבָֽא־אַשּׁ֥וּר בְּמִצְרַ֖יִם וּמִצְרַ֣יִם בְּאַשּׁ֑וּר וְעָבְד֥וּ מִצְרַ֖יִם אֶת־אַשּֽׁוּר׃ ס ;qal;perf;בָֽא־;B>;וּבָֽא־אַשּׁ֥וּר בְּמִצְרַ֖יִם ;W B> >CWR B MYRJM;>CWR;B MYRJM
11;BW>[;Isaiah;20;1;בֹּ֤א ;בִּשְׁנַ֨ת בֹּ֤א תַרְתָּן֙ אַשְׁדֹּ֔ודָה בִּשְׁלֹ֣ח אֹתֹ֔ו סַֽרְגֹ֖ון מֶ֣לֶךְ אַשּׁ֑וּר וַיִּלָּ֥חֶם בְּאַשְׁדֹּ֖וד וַֽיִּלְכְּדָֽהּ׃ ;qal;infc;בֹּ֤א ;B>;בֹּ֤א תַרְתָּן֙ אַשְׁדֹּ֔ודָה ;B> TRTN >CDWDH;TRTN;>CDWDH
12;NWS[;Isaiah;20;6;נַ֤סְנוּ ;וְ֠אָמַר יֹשֵׁ֨ב הָאִ֣י הַזֶּה֮ בַּיֹּ֣ום הַהוּא֒ הִנֵּה־כֹ֣ה מַבָּטֵ֗נוּ אֲשֶׁר־נַ֤סְנוּ שָׁם֙ לְעֶזְרָ֔ה לְהִ֨נָּצֵ֔ל מִפְּנֵ֖י מֶ֣לֶךְ אַשּׁ֑וּר וְאֵ֖יךְ נִמָּלֵ֥ט אֲנָֽחְנוּ׃ ס ;qal;perf;נַ֤סְנוּ ;NSNW;אֲשֶׁר־נַ֤סְנוּ שָׁם֙ לְעֶזְרָ֔ה ;>CR NSNW CM L <ZRH;;CM
13;BW>[;Isaiah;22;15;בֹּא֙ ;כֹּ֥ה אָמַ֛ר אֲדֹנָ֥י יְהוִ֖ה צְבָאֹ֑ות לֶךְ־בֹּא֙ אֶל־הַסֹּכֵ֣ן הַזֶּ֔ה עַל־שֶׁבְנָ֖א אֲשֶׁ֥ר עַל־הַבָּֽיִת׃ ;qal;impv;בֹּא֙ ;B>;בֹּא֙ אֶל־הַסֹּכֵ֣ן הַזֶּ֔ה עַל־שֶׁבְנָ֖א ;B> >L H SKN H ZH <L CBN>;;>L H SKN H ZH <L CBN>
14;BW>[;Isaiah;22;15;בֹּא֙ ;כֹּ֥ה אָמַ֛ר אֲדֹנָ֥י יְהוִ֖ה צְבָאֹ֑ות לֶךְ־בֹּא֙ אֶל־הַסֹּכֵ֣ן הַזֶּ֔ה עַל־שֶׁבְנָ֖א אֲשֶׁ֥ר עַל־הַבָּֽיִת׃ ;qal;impv;בֹּא֙ ;B>;בֹּא֙ אֶל־הַסֹּכֵ֣ן הַזֶּ֔ה עַל־שֶׁבְנָ֖א ;B> >L H SKN H ZH <L CBN>;;>L H SKN H ZH <L CBN>
15;NDX[;Isaiah;27;13;נִּדָּחִ֖ים ;וְהָיָ֣ה׀ בַּיֹּ֣ום הַה֗וּא יִתָּקַע֮ בְּשֹׁופָ֣ר גָּדֹול֒ וּבָ֗אוּ הָאֹֽבְדִים֙ בְּאֶ֣רֶץ אַשּׁ֔וּר וְהַנִּדָּחִ֖ים בְּאֶ֣רֶץ מִצְרָ֑יִם וְהִשְׁתַּחֲו֧וּ לַיהוָ֛ה בְּהַ֥ר הַקֹּ֖דֶשׁ בִּירוּשָׁלִָֽם׃ ;nif;ptca;נִּדָּחִ֖ים ;NDXJM;וְהַנִּדָּחִ֖ים בְּאֶ֣רֶץ מִצְרָ֑יִם ;W H NDXJM B >RY MYRJM;;
16;BW>[;Isaiah;30;29;בֹ֥וא ;הַשִּׁיר֙ יִֽהְיֶ֣ה לָכֶ֔ם כְּלֵ֖יל הִתְקַדֶּשׁ־חָ֑ג וְשִׂמְחַ֣ת לֵבָ֗ב כַּֽהֹולֵךְ֙ בֶּֽחָלִ֔יל לָבֹ֥וא בְהַר־יְהוָ֖ה אֶל־צ֥וּר יִשְׂרָאֵֽל׃ ;qal;infc;לָבֹ֥וא ;L BW>;לָבֹ֥וא בְהַר־יְהוָ֖ה אֶל־צ֥וּר יִשְׂרָאֵֽל׃ ;L BW> B HR JHWH >L YWR JFR>L;;>L YWR JFR>L
