,verb_id,lex,scroll,book,chapter,verse,g_cons,hebrew,stem,tense,subject,complement,dir_he,dir_he_dss_verse,preposition_1,preposition_2,preposition_3
0,212256,BW>[,MT,Isaiah,1,12,TB>W,תָבֹ֔אוּ ,qal,impf,,,,,,,
1,212269,BW>[,MT,Isaiah,1,13,HBJ>,הָבִיא֙ ,hif,infc,,,,,,,
2,212315,SWR[,MT,Isaiah,1,16,HSJRW,הָסִ֛ירוּ ,hif,impv,,M NGD <JNJ,0,,M,,
3,212333,HLK[,MT,Isaiah,1,18,LKW,לְכוּ־,qal,impv,,,,,,,
4,212418,BW>[,MT,Isaiah,1,23,JBW>,יָבֹ֥וא ,qal,impf,RJB >LMNH,>LJHM,0,,>LJHM,,
5,212437,CWB[,MT,Isaiah,1,25,>CJBH,אָשִׁ֤יבָה ,hif,impf,,<LJK,0,,<LJK,,
6,212447,SWR[,MT,Isaiah,1,25,>SJRH,אָסִ֖ירָה ,hif,impf,,,,,,,
7,212451,CWB[,MT,Isaiah,1,26,>CJBH,אָשִׁ֤יבָה ,hif,impf,,,,,,,
8,212477,CWB[,MT,Isaiah,1,27,CBJH,שָׁבֶ֖יהָ ,qal,ptca,CBJH,,,,,,
9,212570,HLK[,MT,Isaiah,2,3,HLKW,הָלְכ֞וּ ,qal,perf,<MJM RBJM,,,,,,
10,212575,HLK[,MT,Isaiah,2,3,LKW,לְכ֣וּ׀ ,qal,impv,,,,,,,
11,212577,<LH[,MT,Isaiah,2,3,N<LH,נַעֲלֶ֣ה ,qal,impf,,>L HR JHWH >L BJT >LHJ J<QB,0,,>L,>L,
12,212590,HLK[,MT,Isaiah,2,3,NLKH,נֵלְכָ֖ה ,qal,impf,,B >RXTJW,0,,B,,
13,212596,JY>[,MT,Isaiah,2,3,TY>,תֵּצֵ֣א ,qal,impf,TWRH,M YJWN,0,,M,,
14,212635,HLK[,MT,Isaiah,2,5,LKW,לְכ֥וּ ,qal,impv,,,,,,,
15,212637,HLK[,MT,Isaiah,2,5,NLKH,נֵלְכָ֖ה ,qal,impf,,B >WR JHWH,0,,B,,
16,212702,BW>[,MT,Isaiah,2,10,BW>,בֹּ֣וא ,qal,impv,,B YWR,0,,B,,
17,212830,BW>[,MT,Isaiah,2,19,B>W,בָ֨אוּ֙ ,qal,perf,,B M<RWT YRJM W B MXLWT <PR,0,,B,B,
18,212857,CLK[,MT,Isaiah,2,20,JCLJK,יַשְׁלִ֣יךְ ,hif,impf,H >DM,,,,,,
19,212880,BW>[,MT,Isaiah,2,21,BW>,בֹוא֙ ,qal,infc,,B NQRWT H YRJM W B S<PJ H SL<JM,0,,B,B,
20,212924,SWR[,MT,Isaiah,3,1,MSJR,מֵסִ֤יר ,hif,ptca,H >DWN JHWH YB>WT,M JRWCLM W M JHWDH,0,,M,M,
21,213042,NPL[,MT,Isaiah,3,8,NPL,נָפָ֑ל ,qal,perf,JHWDH,,,,,,
22,213114,BW>[,MT,Isaiah,3,14,JBW>,יָבֹ֔וא ,qal,impf,JHWH,B MCPV,0,,B,,
23,213114,BW>[,MT,Isaiah,3,14,JBW>,יָבֹ֔וא ,qal,impf,JHWH,<M ZQNJ <MW W FRJW,0,,<M,,
24,213151,HLK[,MT,Isaiah,3,16,TLKNH,תֵּלַ֨כְנָה֙ ,qal,wayq,,,,,,,
25,213157,HLK[,MT,Isaiah,3,16,HLWK,הָלֹ֤וךְ ,qal,infa,,,,,,,
26,213160,HLK[,MT,Isaiah,3,16,TLKNH,תֵּלַ֔כְנָה ,qal,impf,,,,,,,
27,213180,SWR[,MT,Isaiah,3,18,JSJR,יָסִ֣יר ,hif,impf,>DNJ,,,,,,
